"COUNTRY","year","radius_km","value","year.lag","value.lag","diff_yoy","diff_yoy_absolute"
"Singapore",2010,50,0.109221527450861,2009,0.0685265606585848,0.593856840342938,0.0406949667922758
"Singapore",2011,50,0.109941133849438,2010,0.109221527450861,0.0065885033415381,0.000719606398577891
"Singapore",2012,50,0.106048292139795,2011,0.109941133849438,-0.0354084187905003,-0.00389284170964337
"Singapore",2013,50,0.114486598928561,2012,0.106048292139795,0.0795704166328562,0.00843830678876635
"Singapore",2014,50,0.0872503061839913,2013,0.114486598928561,-0.237899396081853,-0.0272362927445701
"Singapore",2015,50,0.083020633929177,2014,0.0872503061839913,-0.0484774488457942,-0.00422967225481433
"Singapore",2016,50,0.0980816653739151,2015,0.083020633929177,0.181413110595931,0.0150610314447381
"Singapore",2017,50,0.070390036364814,2016,0.0980816653739151,-0.282332369699604,-0.027691629009101
"Singapore",2018,50,0.0726254816632906,2017,0.070390036364814,0.0317579790254808,0.00223544529847659
"Singapore",2019,50,0.0524812622076591,2018,0.0726254816632906,-0.2773712338188,-0.0201442194556316
"Singapore",2020,2,-0.0838996656239033,2019,0.0524812622076591,-2.59865944709804,-0.136380927831562
"Singapore",2020,20,-0.153735826956108,2020,-0.0838996656239033,0.83237711155202,-0.0698361613322049
"Singapore",2020,50,0.0320384774550278,2020,-0.153735826956108,-1.20839955194162,0.185774304411136
"Singapore",2020,200,0.00806377596654619,2020,0.0320384774550278,-0.748309638687879,-0.0239747014884816
"South Africa",2005,50,0.385630649099528,NA,NA,NA,NA
"South Africa",2006,50,0.422978748436229,2005,0.385630649099528,0.0968494060933979,0.0373480993367008
"South Africa",2007,50,0.429497198355731,2006,0.422978748436229,0.01541082133228,0.00651844991950212
"South Africa",2008,50,0.445931755754435,2007,0.429497198355731,0.0382646440107677,0.0164345573987041
"South Africa",2009,50,0.386548836455962,2008,0.445931755754435,-0.133165935218065,-0.0593829192984731
"South Africa",2010,50,0.411130829190835,2009,0.386548836455962,0.0635934981987044,0.0245819927348735
"South Africa",2011,50,0.382502395043245,2010,0.411130829190835,-0.0696333918911774,-0.0286284341475901
"South Africa",2012,50,0.354102270145732,2011,0.382502395043245,-0.0742482276334579,-0.0284001248975137
"South Africa",2013,50,0.376497140576667,2012,0.354102270145732,0.0632440747180719,0.0223948704309355
"South Africa",2014,50,0.367972995889465,2013,0.376497140576667,-0.0226406624872261,-0.00852414468720203
"South Africa",2015,50,0.395685471380905,2014,0.367972995889465,0.0753111663111393,0.0277124754914397
"South Africa",2016,50,0.372634949760724,2015,0.395685471380905,-0.0582546575180966,-0.0230505216201812
"South Africa",2017,50,0.38118461198407,2016,0.372634949760724,0.0229438012425738,0.00854966222334652
"South Africa",2018,50,0.366629293295695,2017,0.38118461198407,-0.0381844340793677,-0.0145553186883751
"South Africa",2019,50,0.346143588449283,2018,0.366629293295695,-0.0558757994001587,-0.0204857048464122
"South Africa",2020,2,0.288697738404863,2019,0.346143588449283,-0.165959595848002,-0.05744585004442
"South Africa",2020,20,0.262450645111097,2020,0.288697738404863,-0.0909154794172901,-0.0262470932937655
"South Africa",2020,50,0.364546351529515,2020,0.262450645111097,0.389009165419274,0.102095706418418
"South Africa",2020,200,0.124697674599738,2020,0.364546351529515,-0.65793739513083,-0.239848676929777
