"COUNTRY","SOURCETY","year","radius_km","value","year.lag","value.lag","diff_yoy","diff_yoy_absolute"
"India","Coal",2020,2,0.0648857569494977,2019,0.1050923742377,-0.382583584963666,-0.0402066172882025
"India","Coal",2020,20,0.0634868335066552,2020,0.0648857569494977,-0.0215597922966555,-0.00139892344284244
"India","Coal",2020,50,0.0947792973112869,2020,0.0634868335066552,0.492896905960058,0.0312924638046317
"India","Coal",2020,200,0.0209131878593811,2020,0.0947792973112869,-0.779348566061899,-0.0738661094519059
"India","Oil & Gas",2005,50,0.103022297266393,NA,NA,NA,NA
"India","Oil & Gas",2006,50,0.107459809814343,2005,0.103022297266393,0.0430733216565326,0.00443751254795027
"India","Oil & Gas",2007,50,0.102700914385292,2006,0.107459809814343,-0.0442853513073677,-0.00475889542905111
"India","Oil & Gas",2008,50,0.0895945089032109,2007,0.102700914385292,-0.127617222889677,-0.0131064054820814
"India","Oil & Gas",2009,50,0.0885544838110779,2008,0.0895945089032109,-0.0116081343027004,-0.00104002509213295
"India","Oil & Gas",2010,50,0.0836210264248044,2009,0.0885544838110779,-0.055710983498007,-0.00493345738627349
"India","Oil & Gas",2011,50,0.080279139370238,2010,0.0836210264248044,-0.039964673927694,-0.00334188705456639
"India","Oil & Gas",2012,50,0.0656340294504306,2011,0.080279139370238,-0.182427340834658,-0.0146451099198075
"India","Oil & Gas",2013,50,0.0354309076286642,2012,0.0656340294504306,-0.460174730618618,-0.0302031218217663
"India","Oil & Gas",2014,50,0.0583568386646927,2013,0.0354309076286642,0.647060224262531,0.0229259310360285
"India","Oil & Gas",2015,50,0.0623229849184251,2014,0.0583568386646927,0.0679636927648045,0.00396614625373244
"India","Oil & Gas",2016,50,0.0804547864377459,2015,0.0623229849184251,0.290932816248348,0.0181318015193207
"India","Oil & Gas",2017,50,0.0801051621337027,2016,0.0804547864377459,-0.00434559980236551,-0.000349624304043228
"India","Oil & Gas",2018,50,0.0589606252929325,2017,0.0801051621337027,-0.263959728406492,-0.0211445368407701
"India","Oil & Gas",2019,50,0.069219193898008,2018,0.0589606252929325,0.17399015960411,0.0102585686050755
"India","Oil & Gas",2020,2,0.136424707869689,2019,0.069219193898008,0.970908648123028,0.0672055139716807
"India","Oil & Gas",2020,20,0.136424707869689,2020,0.136424707869689,0,0
"India","Oil & Gas",2020,50,0.0804116328244197,2020,0.136424707869689,-0.41057866950884,-0.056013075045269
"India","Oil & Gas",2020,200,0.0407228686842666,2020,0.0804116328244197,-0.493569931937761,-0.0396887641401531
"India","Smelter",2005,50,0.0508597583126728,NA,NA,NA,NA
"India","Smelter",2006,50,0.0663248007061096,2005,0.0508597583126728,0.3040722745547,0.0154650423934367
"India","Smelter",2007,50,0.0515763462355627,2006,0.0663248007061096,-0.222367113259766,-0.0147484544705469
"India","Smelter",2008,50,0.0622299576810674,2007,0.0515763462355627,0.206560026506083,0.0106536114455047
"India","Smelter",2009,50,0.0735427483097903,2008,0.0622299576810674,0.181790106409869,0.0113127906287229
"India","Smelter",2010,50,0.076436224252727,2009,0.0735427483097903,0.0393441367019391,0.00289347594293669
"India","Smelter",2011,50,0.0750677193606167,2010,0.076436224252727,-0.0179038787628436,-0.00136850489211035
"India","Smelter",2012,50,0.0732659676241192,2011,0.0750677193606167,-0.0240016847700149,-0.00180175173649746
"India","Smelter",2013,50,0.0724624118923652,2012,0.0732659676241192,-0.0109676533022331,-0.000803555731753974
"India","Smelter",2014,50,0.0826559261381929,2013,0.0724624118923652,0.140673129414585,0.0101935142458276
"India","Smelter",2015,50,0.0876057300371698,2014,0.0826559261381929,0.0598844405989882,0.00494980389897696
"India","Smelter",2016,50,0.0861906509708889,2015,0.0876057300371698,-0.0161528140417356,-0.0014150790662809
"India","Smelter",2017,50,0.100842414559719,2016,0.0861906509708889,0.169992492501053,0.0146517635888297
"India","Smelter",2018,50,0.0886685815890625,2017,0.100842414559719,-0.120721355431715,-0.0121738329706561
"India","Smelter",2019,50,0.0780556632043049,2018,0.0886685815890625,-0.119691983277048,-0.0106129183847576
"India","Smelter",2020,2,0.0773628450591456,2019,0.0780556632043049,-0.00887594976095398,-0.000692818145159355
"India","Smelter",2020,20,0.0455844114818003,2020,0.0773628450591456,-0.410771263040417,-0.0317784335773453
"India","Smelter",2020,50,0.0722477905986011,2020,0.0455844114818003,0.584923184265443,0.0266633791168009
"India","Smelter",2020,200,0.00695931663033178,2020,0.0722477905986011,-0.903674332838816,-0.0652884739682694
"Indonesia","Coal",2005,50,0.103560785179475,NA,NA,NA,NA
"Indonesia","Coal",2006,50,0.127426209257105,2005,0.103560785179475,0.230448465954272,0.02386542407763
"Indonesia","Coal",2007,50,0.101447264208302,2006,0.127426209257105,-0.203874424266878,-0.0259789450488031
"Indonesia","Coal",2008,50,0.109920678062207,2007,0.101447264208302,0.0835253066707286,0.00847341385390488
"Indonesia","Coal",2009,50,0.11202312347372,2008,0.109920678062207,0.0191269326988953,0.00210244541151278
"Indonesia","Coal",2010,50,0.129955973585304,2009,0.11202312347372,0.160081682741071,0.0179328501115839
"Indonesia","Coal",2011,50,0.129343362570271,2010,0.129955973585304,-0.00471398888509671,-0.000612611015033043
"Indonesia","Coal",2012,50,0.1452044876108,2011,0.129343362570271,0.122628055474527,0.015861125040529
"Indonesia","Coal",2013,50,0.117876986768747,2012,0.1452044876108,-0.188200112074361,-0.0273275008420527
"Indonesia","Coal",2014,50,0.115663994300406,2013,0.117876986768747,-0.0187737448080739,-0.00221299246834115
"Indonesia","Coal",2015,50,0.129559842203025,2014,0.115663994300406,0.120139789280737,0.0138958479026191
"Indonesia","Coal",2016,50,0.125647329341277,2015,0.129559842203025,-0.0301984997451389,-0.00391251286174829
"Indonesia","Coal",2017,50,0.103462791993837,2016,0.125647329341277,-0.176561948938711,-0.0221845373474398
