"SOURCETY","year","radius_km","value","year.lag","value.lag","diff_yoy","diff_yoy_absolute"
"Oil & Gas",2020,50,0.0644682878411101,2020,0.10666746601319,-0.395614330679437,-0.0421991781720797
"Oil & Gas",2020,200,0.0543866845786565,2020,0.0644682878411101,-0.15638081295568,-0.0100816032624536
"Smelter",2005,50,0.0973555245770433,NA,NA,NA,NA
"Smelter",2006,50,0.099310916159272,2005,0.0973555245770433,0.0200850603057584,0.00195539158222865
"Smelter",2007,50,0.0942777237381203,2006,0.099310916159272,-0.0506811598946446,-0.0050331924211517
"Smelter",2008,50,0.091536108585903,2007,0.0942777237381203,-0.0290802009585291,-0.00274161515221723
"Smelter",2009,50,0.0835960496377443,2008,0.091536108585903,-0.0867423694410967,-0.00794005894815875
"Smelter",2010,50,0.0745050577708459,2009,0.0835960496377443,-0.108749060587113,-0.00909099186689838
"Smelter",2011,50,0.0800565221543097,2010,0.0745050577708459,0.0745112419151239,0.00555146438346378
"Smelter",2012,50,0.0748865509029035,2011,0.0800565221543097,-0.0645790138302664,-0.0051699712514062
"Smelter",2013,50,0.0770903395904253,2012,0.0748865509029035,0.0294283641181334,0.00220378868752177
"Smelter",2014,50,0.0748060379224838,2013,0.0770903395904253,-0.0296314905353612,-0.00228430166794147
"Smelter",2015,50,0.0672350577235403,2014,0.0748060379224838,-0.101208143208824,-0.00757098019894348
"Smelter",2016,50,0.0662798372903159,2015,0.0672350577235403,-0.0142071780045486,-0.000955220433224435
"Smelter",2017,50,0.0688062814353746,2016,0.0662798372903159,0.0381178386723018,0.00252644414505868
"Smelter",2018,50,0.0632331920440677,2017,0.0688062814353746,-0.0809968112655718,-0.00557308939130685
"Smelter",2019,50,0.0629123192257031,2018,0.0632331920440677,-0.00507443651019536,-0.000320872818364612
"Smelter",2020,2,0.0593640319959607,2019,0.0629123192257031,-0.0564005154064129,-0.00354828722974243
"Smelter",2020,20,0.0715002467754842,2020,0.0593640319959607,0.204437171322012,0.0121362147795236
"Smelter",2020,50,0.0558287275924656,2020,0.0715002467754842,-0.219181329992166,-0.0156715191830187
"Smelter",2020,200,0.0408543685588492,2020,0.0558287275924656,-0.268219600900187,-0.0149743590336164
